number_id,metric,value,unit,scope,evidence_level,source_path,notes
N001,raw_files_profiled,26,files,prior research archive,E1,data/source_profile.json,includes non-CSV files
N002,csv_files_profiled,17,files,prior research archive,E1,data/source_profile.json,
N003,raw_archive_bytes,64243618,bytes,prior research archive,E1,data/source_profile.json,
N004,observed_entity_records,42356,records,normalized observed archive,E1,data/processed/observed_data_summary.json,
N005,observed_review_records,166259,records,non-empty normalized reviews,E1,data/processed/observed_data_summary.json,
N006,observed_total_records,208615,records,entities plus reviews,E1,data/processed/observed_data_summary.json,not unique users
N007,unique_entities,34584,entities,normalized entity IDs,E1,data/processed/observed_data_summary.json,
N008,cross_source_entities,4102,entities,AOTY-RYM normalized matching,E1,data/processed/observed_data_summary.json,exact normalized key match
N009,normalized_review_duplicates,965,records,normalized exact text duplicates,E1,data/processed/observed_data_summary.json,not labeled fraud
N010,clean_benchmark_records,100000,records,controlled benchmark,E2,configs/trust.yaml,behavior and timestamps synthetic
N011,maximum_injection_pool,30000,records,controlled benchmark,E2,configs/trust.yaml,five attack mechanisms
N012,validation_threshold,0.90,probability score,all contamination levels,E2,outputs/runs/latest/classification_metrics.csv,selected on validation data
N013,f1_1pct,0.190476,ratio,1 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,known weak case
N014,auprc_1pct,0.353304,ratio,1 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N015,f1_5pct,0.630218,ratio,5 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N016,auprc_5pct,0.714257,ratio,5 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N017,f1_10pct,0.741399,ratio,10 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N018,auprc_10pct,0.851604,ratio,10 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N019,f1_20pct,0.751680,ratio,20 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N020,auprc_20pct,0.924887,ratio,20 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N021,f1_30pct,0.749248,ratio,30 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N022,auprc_30pct,0.948984,ratio,30 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N023,fpr_30pct,0.001730,ratio,clean test records at 30 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,equals 0.173 percent
N024,simple_rule_f1_30pct,0.444128,ratio,30 percent contamination,E2,outputs/runs/latest/classification_metrics.csv,
N025,raw_mean_rank_error_30pct,20.3960,ranks,2000 entities,E2,outputs/runs/latest/ranking_metrics.csv,
N026,weighted_mean_rank_error_30pct,15.2335,ranks,2000 entities,E2,outputs/runs/latest/ranking_metrics.csv,25.31 percent reduction
N027,raw_mean_rank_error_1pct,3.0325,ranks,2000 entities,E2,outputs/runs/latest/ranking_metrics.csv,
N028,weighted_mean_rank_error_1pct,39.0970,ranks,2000 entities,E2,outputs/runs/latest/ranking_metrics.csv,known regression
N029,automated_tests_passed,67,tests,core and evidence test suites,E1,tests/,not third-party testing
N030,competition_system_deadline,2026-09-05,date,Nanjing University application,E1,https://jw.nju.edu.cn/d9/36/c26263a842038/page.htm,timezone assumed China Standard Time
N031,split_sensitivity_runs,5,group partitions,all contamination levels,E2,outputs/runs/latest/split_sensitivity_metrics.csv,contributor-disjoint splits on one generated benchmark
N032,f1_median_30pct_split_sensitivity,0.751503,ratio,30 percent contamination,E2,outputs/runs/latest/split_sensitivity_summary.csv,range 0.744297 to 0.764381
N033,auprc_median_30pct_split_sensitivity,0.948669,ratio,30 percent contamination,E2,outputs/runs/latest/split_sensitivity_summary.csv,range 0.948358 to 0.948984
N034,fpr_median_30pct_split_sensitivity,0.001730,ratio,30 percent contamination,E2,outputs/runs/latest/split_sensitivity_summary.csv,range 0.001483 to 0.002224
